year,month,city,PM2.5
2015,1,Katowice,44.54900000000001
2015,1,Warszawa,58.052356
2015,2,Katowice,19.8609
2015,2,Warszawa,23.033455500000002
2015,3,Katowice,33.92046666666666
2015,3,Warszawa,30.393822666666665
2015,5,Katowice,81.6534
2015,5,Warszawa,28.381449749999998
2015,6,Warszawa,17.346841
2015,8,Katowice,41.19875
2015,8,Warszawa,19.061436375
2015,9,Katowice,17.189
2015,9,Warszawa,10.8245155
2015,11,Katowice,36.5042
2015,11,Warszawa,27.722534749999998
2018,1,Katowice,29.03544340277778
2018,1,Warszawa,22.617896152935607
2018,2,Katowice,26.678599166666668
2018,2,Warszawa,25.823128070425508
2018,3,Katowice,31.72479354166667
2018,3,Warszawa,24.462250812184344
2018,4,Katowice,30.952091153846155
2018,4,Warszawa,22.176500975537802
2018,5,Katowice,30.157657887323943
2018,5,Warszawa,23.11679710479798
2018,6,Katowice,41.304707535211264
2018,6,Warszawa,24.375832056660357
2018,7,Katowice,31.81259334507042
2018,7,Warszawa,26.077065518583044
2018,8,Katowice,29.05757809027778
2018,8,Warszawa,25.135788812500003
2018,9,Katowice,34.27533038194444
2018,9,Warszawa,25.925137396480594
2018,10,Katowice,43.2928196875
2018,10,Warszawa,26.117182893262438
2018,11,Katowice,40.89750541958042
2018,11,Warszawa,28.043824353684066
2018,12,Katowice,29.63260210526316
2018,12,Warszawa,25.741108694128787
2021,1,Katowice,22.192596293706295
2021,1,Warszawa,20.974199946395068
2021,2,Katowice,23.76868222222222
2021,2,Warszawa,19.20070275821596
2021,3,Katowice,21.30715375
2021,3,Warszawa,18.410925885598143
2021,4,Katowice,20.59305611111111
2021,4,Warszawa,15.441284722222221
2021,5,Katowice,16.365518333333334
2021,5,Warszawa,13.448558784965035
2021,6,Katowice,18.313234244604317
2021,6,Warszawa,13.847601222025913
2021,7,Katowice,19.842983053435116
2021,7,Warszawa,14.240853713768114
2021,8,Katowice,20.472959924242424
2021,8,Warszawa,15.47
2021,9,Katowice,28.206461263537907
2021,9,Warszawa,18.68920138888889
2021,10,Katowice,28.69485763888889
2021,10,Warszawa,24.678046207264956
2021,11,Katowice,31.12858673611111
2021,11,Warszawa,23.985930755395685
2021,12,Katowice,23.883526840277778
2021,12,Warszawa,22.21800347222222
2024,1,Katowice,22.559090909090912
2024,1,Warszawa,16.774131944444445
2024,2,Katowice,15.224100719424461
2024,2,Warszawa,12.438921480144405
2024,3,Katowice,14.86423611111111
2024,3,Warszawa,14.05295138888889
2024,4,Katowice,16.345138888888886
2024,4,Warszawa,13.998437500000001
2024,5,Katowice,16.37013888888889
2024,5,Warszawa,12.945659722222222
2024,6,Katowice,17.54236111111111
2024,6,Warszawa,15.39886699090205
2024,7,Katowice,18.474305555555556
2024,7,Warszawa,13.497395833333332
2024,8,Katowice,19.72986111111111
2024,8,Warszawa,15.510855231320171
2024,9,Katowice,19.350347222222222
2024,9,Warszawa,16.145080194741006
2024,10,Katowice,22.899305555555557
2024,10,Warszawa,18.18502415458937
2024,11,Katowice,21.561805555555555
2024,11,Warszawa,14.372252859477125
2024,12,Katowice,17.23698113207547
2024,12,Warszawa,12.317964743589744
