,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,Kod stacji,DsJelGorOgin,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,LbLubObywate,LdLodzCzerni,LdLodzGdansk,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MzLegZegrzyn,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarKondrat,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,PdBialWaszyn,PdHajnowkJagMOB,PdSuwPulaski,PkMielSolski,PkPrzemGrunw,PmGdaLeczk08,PmKosTargo12,SkKielJagiel,SkMalo11List,SkPolaRuszcz,SlGliwicMewy,SlKatoKossut,SlZlotPotLes,WmOlsPuszkin,WpKaliSawick,WpPoznPolank,ZpSzczAndr01,ZpSzczPils02
1,Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
2,Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
3,2015-01-01 01:00:00,151.112,78,50,29.2,95.5,27.352,71.1012,59.73,,58.690689,,73,88,58,49.5,53.5,47.075769,55.465511,43.655099,71.8204,78.085,68.982316,86.182337,43,67,,29,55.797,18.9027,,,56.6,39.6,72.4,77.828,51.389,49.9464,44.060833,25.5,24.4768,,
4,2015-01-01 02:00:00,262.566,42,33.8244,27.1,86.1,78.0064,95.2582,185.92,,44.501255,51.8628,55,54,52,92.1,79.5,27.266659,40.666939,37.268873,42.6996,64.46,48.707108,61.823362,54.5611,103,,22,56.5538,15.9257,75.5278,,61.5,33.6,57.2,50.0552,37.709,45.6291,49.943329,32.5,29.86,81.8501,215.379
5,2015-01-01 03:00:00.005000,222.83,27,28.7215,7.9,23.8,21.1056,49.5078,54.25,,24.163937,15.866,61,50,48,42.7,47.7,23.887457,38.45298,32.788982,38.2824,36.21,37.986883,58.974359,54.3,49,,17,47.4741,16.1709,8.87389,,49.7,35,41.9,52.0277,41.984,49.2093,20.688448,24.3,29.3744,25.7333,27.7458
6,2015-01-01 04:00:00.010000,210.767,24,20.6891,7.1,15.9,16.9088,60.8468,50.15,,19.516039,20.1187,62,42,51,39.3,42.3,20.741304,37.171214,31.263914,35.4194,29.585,33.675489,53.276353,48.45,37,,12,49.8029,16.0252,8.83194,22.7895,50,34.8,36.7,49.1084,45.404,53.316,17.437717,24.4,28.34,18.624,26.5201
7,2015-01-01 05:00:00.015000,191.211,22,22.5335,9.2,15,16.8112,49.3106,39.17,,16.850332,27.3413,57,40,50,36.1,35.3,18.177772,33.558964,31.263914,31.7384,24.335,29.24757,44.586895,48.7667,27,,7,46.4296,15.5498,6.5675,,44.9,35.8,36,44.0588,36.854,51.5259,15.532262,25,25.2286,17.6545,31.0393
8,2015-01-01 06:00:00.020000,114.636,19,18.5107,7.1,12.7,16.128,39.6478,27.67,,17.975487,25.8225,46,44,40,35.1,33.3,17.944724,31.345005,27.737192,29.2844,25.71,26.334465,40.740741,48.5222,25,,6,45.3712,15.5701,5.02417,,43.6,38.9,35.6,43.2698,35.999,42.8913,15.167184,21.1,18.6,27.2269,27.1158
9,2015-01-01 07:00:00.025000,21.4669,23,27.4382,5.3,11.6,12.1264,35.6052,19.07,,16.226292,26.4438,36,36,34,30.1,31.3,16.546434,30.529336,26.021489,27.8938,27.835,24.120506,34.757835,47.2167,18,,5,44.1242,15.5822,7.98778,,44.5,37.4,37,42.4808,35.144,40.8906,12.411852,19.2,17.0954,22.1457,31.1416
