,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,Kod stacji,DsJelGorOgin,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,KpWloclOkrze,LbLubObywate,LdLodzCzerni,LdLodzGdansk,LdZgieMielcz,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpTarRoSitko,MzKonJezMos,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarKondrat,MzWarTolstoj,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,PdAugustoZdrMOB,PdBialWaszyn,PdSuwPulaskp,PkMielBierna,PkPrzemGrunw,PkRymZdrPark,PmGdaLeczk08,PmKosTargo12,SkKielJagiel,SkKielTargow,SkKonsGranatMOB,SkPolaRuszcz,SlBielPartyz,SlKatoKossut,SlZlotPotLes,WmOlsPuszkin,WpKaliSawick,WpPoznDabrow,ZpSzczAndr01,ZpSzczPils02
2,Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
3,Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
4,Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
5,Czas pomiaru,DsJelGorOgin-PM2.5-1g,DsWrocAlWisn-PM2.5-1g,DsWrocWybCon-PM2.5-1g,KpBydPlPozna-PM2.5-1g,KpBydWarszaw-PM2.5-1g,KpToruDziewu-PM2.5-1g,KpWloclOkrze-PM2.5-1g,LbLubObywate-PM2.5-1g,LdLodzCzerni-PM2.5-1g,LdLodzGdansk-PM2.5-1g,LdZgieMielcz-PM2.5-1g,LuWsKaziWiel-PM2.5-1g,LuZarySzyman-PM2.5-1g,LuZielKrotka-PM2.5-1g,MpKrakAlKras-PM2.5-1g,MpKrakBujaka-PM2.5-1g,MpKrakBulwar-PM2.5-1g,MpTarRoSitko-PM2.5-1g,MzKonJezMos-PM2.5-1g,MzLegZegrzyn-PM2.5-1g,MzOtwoBrzozo-PM2.5-1g,MzPiasPulask-PM2.5-1g,MzPlocMiReja-PM2.5-1g,MzRadTochter-PM2.5-1g,MzSiedKonars-PM2.5-1g,MzWarAlNiepo-PM2.5-1g,MzWarKondrat-PM2.5-1g,MzWarTolstoj-PM2.5-1g,MzWarWokalna-PM2.5-1g,MzZyraRoosev-PM2.5-1g,OpKKozBSmial-PM2.5-1g,PdAugustoZdrMOB-PM2.5-1g,PdBialWaszyn-PM2.5-1g,PdSuwPulaskp-PM2.5-1g,PkMielBierna-PM2.5-1g,PkPrzemGrunw-PM2.5-1g,PkRymZdrPark-PM2.5-1g,PmGdaLeczk08-PM2.5-1g,PmKosTargo12-PM2.5-1g,SkKielJagiel-PM2.5-1g,SkKielTargow-PM2.5-1g,SkKonsGranatMOB-PM2.5-1g,SkPolaRuszcz-PM2.5-1g,SlBielPartyz-PM2.5-1g,SlKatoKossut-PM2.5-1g,SlZlotPotLes-PM2.5-1g,WmOlsPuszkin-PM2.5-1g,WpKaliSawick-PM2.5-1g,WpPoznDabrow-PM2.5-1g,ZpSzczAndr01-PM2.5-1g,ZpSzczPils02-PM2.5-1g
6,2018-01-01 01:00:00,"43,0102","71,494","70,2","49,2716","69,6873","18,778",,"30,9","16,0","68,349","91,757",,,,"50,9017",,"118,9","20,4439","38,530623","32,5","114,806869","22,22","33,260833","51,206548","57,803675","52,514518","99,21228","70,07","65,47","35,058214","22,3656","12,4","16,0",,"18,1742","12,268","14,9703","92,1811",,"16,6",,,"27,68",,"76,8469","25,9266","41,3687",,,"26,5445","12,8035"
7,2018-01-01 02:00:00,"5,38425","7,89305","13,1522","36,236","42,3178",,,"54,8","83,0","39,999","54,707",,,"8,42542","31,2871",,"103,6","15,2543","31,384546","82,7","72,609373","89,31","17,892146","25,274161","35,379356","33,935946","33,262494","22,44","31,77","25,718414","68,5475","12,4","11,0",,"28,8557","7,84633","13,7978","23,5344","5,74148","32,3",,,"18,48",,"39,3395","32,7522","25,8502",,,,
8,2018-01-01 03:00:00,"4,52882","12,5392","12,5","14,7514",,,,"24,3","16,0","17,949","17,657",,,"14,936","35,3372",,"118,0","11,8631","26,20623","40,0","47,57609","23,95","14,45002","24,043194","31,803064","28,653804","22,849369","19,84","25,2","24,020268","27,7163","18,5","25,0",,"23,9673","7,01749","14,9918","14,8063","8,72956","18,2",,,"15,59",,"23,2554","37,6664","22,4599",,,"10,4332","32,0944"
9,2018-01-01 04:00:00,"8,68036","5,03196","8,85164","17,1654",,"13,353",,"15,1","14,0","12,699","4,832",,,"11,0771","35,8218",,"94,1","10,8802","23,09924","24,4","36,895907","19,58","12,400862","25,43829","28,226772","26,923446","21,609712","19,04","23,29","23,065061","20,6727","22,2","20,0",,"15,477","8,08144","14,5922","13,6979","10,7329","15,4",,,"12,32",,"22,3614","32,4625","20,1625",,,"28,1885","27,3274"
